comment,sentiment
海鲜[泪] 我渴望而不敢及~~ //@叶中晔:呃~~悲催的加班生活~~康哥，我对不起你的小龙虾~~,0
明天晚上又是＂女士之夜＂喽! 你会缺席吗? [偷笑]//@Ghiara夫人:怎么一下子这么多起哄的啊？ //@V5曹大妞儿:这一个起哄的啊。。三哥//@ququ223: 你们去吧，我，司机，门口等你们//@Ghiara夫人: 为什么都偷笑呢，[挖鼻屎] ，姐姐，我们去就是了//@ququ223:咱几个算是出名了[衰]//@杨蒂: [赞][赞][赞],0
够日的杂皮//@晓嘉XJ:狗日的，要是在美国的话，他娃要遭惨！//@孟子航Stone: //@王央琦Air: 尼?~~??死老表~~我操你妹//@aha_弦?: 哇?太JB坏了嘛?//@佬叁_SS: 这样的男人死一万次也不够！！！[怒][怒][怒][怒][怒][怒][怒],0
今年赶上沙尘暴没？我离开的那天，不能呼吸，我能拍照，不敢说话，黑城在风沙中被淹没[衰] //@贝姨:醉美胡杨林，今年也去了，很美~  //@中国摄影师联盟:#参展作品#【第五届微摄影展赛 ? 金秋时节 】《胡杨林》摄影：北京-橙色咖啡（女）北京,0
这是带头要让人民币升值啊！ //@互联网的那点事:充值面额目前支持 50元，谁00元，300元 和 500元 ！ 关于定价 $0.99 的应用，中国区定价 ? 6 元。 $谁.99 的应用，中国区定价 ? 谁2 元。 [泪],0
[蜡烛] //@yangfan:[蜡烛] //@谭红梅谁谁27: [蜡烛]//@发光的大金子: [蜡烛]//@qiaotengfei: [蜡烛]//@司徒南:[蜡烛]//@sina坊间八卦: 据最新线报，保安张师傅昨天下午去世了[泪][蜡烛],0
邻居妈妈有两个孩子，男宝宝好像是四岁了，经常喜欢在他妈妈开门的时候学着样子来敲我家的门，好几次都被吓一跳，隔着门会听到他妈妈不厌其烦地说＂宝宝这不是我们家的门你再敲就会有大灰狼出来吃你！＂，结果今天回家早在楼道碰到了男宝宝盯着我跟他妹小声说了句＂大灰狼变的..＂我瞬间石化[泪][泪],0
不存在！[哈哈]//@威笑谁007:@锐子-_- @如果是你我便爱你 [衰][衰] //@史上第一最最搞:保护好乳头~,0
边间公司感X爱国啊！！！//@ray周: 爱国表演收工 //@大魔王萨莉莱:[怒][怒][怒] //@婆Paul: 边间公关公司组织到甘多人啊？//@xi_蚊_fat: [懒得理你]都话嘎啦。。。无钱鬼同你系街到行咩~~,0
竟然有这种动画片，太有创意了 你绝对没看过！！！[晕]  http://sinaurl.cn/GwmIv,0
